commune;code_insee;code_postal;epci;departement;nombre_de_souscriptions_vae_classique;nombre_de_souscriptions_cargo;nombre_de_souscriptions_jo
ABLON SUR SEINE;94480;94001;EPT Grand Orly Val de Bièvre Seine Amont;94;13;<5;0
AMIENS;80090;80021;CA Amiens Métropole;80;<5;0;0
AUBUSSON;23200;23008;CC Creuse Grand Sud;23;<5;0;0
AULNAY SUR MAULDRE;78126;78033;CU Grand Paris Seine et Oise;78;6;0;0
AUTREVILLE SUR LA RENNE;52330;52031;CC des Trois Forêts;52;<5;0;0
BEAUCHAMP;95250;95051;CA Val Parisis;95;12;0;<5
BEAUPREAU EN MAUGES;49510;49023;CA Mauges Communauté;49;<5;0;0
BEAUVAIS;60000;60057;CA du Beauvaisis;60;<5;0;0
BOISSY LE CUTTE;91590;91080;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
BONNEVAL;28800;28051;CC du Bonnevalais;28;<5;0;0
BORDEAUX;33000;33063;Bordeaux Métropole;33;<5;0;0
BOUAFLE;78410;78090;CU Grand Paris Seine et Oise;78;<5;0;0
BOULOGNE BILLANCOURT;92100;92012;EPT Grand Paris Seine Ouest;92;1711;230;35
BOURAY SUR JUINE;91850;91095;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
BOURRON MARLOTTE;77780;77048;CA du Pays de Fontainebleau;77;<5;0;0
BRANSLES;77620;77050;CC Gâtinais Val de Loing;77;0;<5;0
BRAY SUR SEINE;77480;77051;CC Bassée-Montois;77;<5;0;0
BREVAL;78980;78107;CC Les Portes de l'Ile de France;78;<5;0;0
CALUIRE ET CUIRE;69300;69034;Métropole de Lyon;69;<5;0;0
CERNY;91590;91129;CC du Val d'Essonne (CCVE);91;<5;0;0
CESSON;77240;77067;CA Grand Paris Sud Seine Essonne Sénart;77;<5;0;0
CHALETTE SUR LOING;45120;45068;CA Montargoise et Rives du Loing (A.M.E.);45;<5;0;0
CHAMPLAN;91160;91136;CA Communauté Paris-Saclay;91;<5;<5;0
CHARTRETTES;77590;77096;CA du Pays de Fontainebleau;77;11;<5;0
CHATENAY MALABRY;92290;92019;EPT Vallée Sud Grand Paris;92;331;24;<5
CHATOU;78400;78146;CA Saint-Germain Boucles de Seine;78;167;24;<5
CHAUMONTEL;95270;95149;CC Carnelle Pays-De-France;95;0;<5;0
CHEPTAINVILLE;91630;91156;CA Cœur d'Essonne Agglomération;91;6;0;0
CHEVREUSE;78460;78160;CC de la Haute Vallée de Chevreuse;78;16;<5;0
CHILLY MAZARIN;91380;91161;CA Communauté Paris-Saclay;91;33;<5;0
CHOISEL;78460;78162;CC de la Haute Vallée de Chevreuse;78;8;0;0
COMBS LA VILLE;77380;77122;CA Grand Paris Sud Seine Essonne Sénart;77;30;<5;0
CONCHES SUR GONDOIRE;77600;77124;CA Marne et Gondoire;77;<5;0;0
COUILLY PONT AUX DAMES;77860;77128;CA Coulommiers Pays de Brie;77;<5;0;0
COULOMMIERS;77120;77131;CA Coulommiers Pays de Brie;77;12;<5;0
COURTRY;77181;77139;CA Paris - Vallée de la Marne;77;<5;0;0
COYE LA FORET;60580;60172;CC de l'Aire Cantilienne;60;<5;0;0
CREGY LES MEAUX;77124;77143;CA du Pays de Meaux;77;7;0;0
CRETEIL;94000;94028;EPT Grand Paris Sud Est Avenir;94;370;28;<5
CROSNE;91560;91191;CA Val d'Yerres Val de Seine;91;38;0;0
DONNEMARIE DONTILLY;77520;77159;CC Bassée-Montois;77;<5;0;0
DORDIVES;45680;45127;CC des Quatre Vallées;45;<5;0;0
DROUE SUR DROUETTE;28230;28135;CC des Portes Euréliennes d'Île-de-France;28;<5;0;0
EAUBONNE;95600;95203;CA Val Parisis;95;73;9;<5
ENNERY;95300;95211;CC Sausseron Impressionnistes;95;<5;<5;0
EPERNON;28230;28140;CC des Portes Euréliennes d'Île-de-France;28;<5;0;0
EPINAY SOUS SENART;91860;91215;CA Val d'Yerres Val de Seine;91;13;0;<5
ETAMPES;91150;91223;CA Étampois Sud-Essonne;91;26;<5;0
ETIOLLES;91450;91225;CA Grand Paris Sud Seine Essonne Sénart;91;8;<5;0
EVREUX;27000;27229;CA Evreux Portes de Normandie;27;<5;0;0
FLINS SUR SEINE;78410;78238;CU Grand Paris Seine et Oise;78;<5;0;0
FOLLAINVILLE DENNEMONT;78520;78239;CU Grand Paris Seine et Oise;78;6;0;0
FONTAINEBLEAU;77300;77186;CA du Pays de Fontainebleau;77;37;<5;0
FONTENAY LE FLEURY;78330;78242;CA Versailles Grand Parc (C.A.V.G.P.);78;33;<5;<5
FREPILLON;95740;95256;CA Val Parisis;95;6;<5;0
GARANCIERES;78890;78265;CC Cœur d'Yvelines;78;<5;<5;0
GARGES LES GONESSE;95140;95268;CA Roissy Pays de France;95;61;<5;0
GAZERAN;78125;78269;CA Rambouillet Territoires;78;<5;0;<5
GENNEVILLIERS;92230;92036;EPT Boucle Nord de Seine;92;243;19;<5
GIF SUR YVETTE;91190;91272;CA Communauté Paris-Saclay;91;94;6;<5
GOMETZ LA VILLE;91400;91274;CC du Pays de Limours (CCPL);91;<5;0;0
GRENOBLE;38100;38185;Grenoble-Alpes-Métropole;38;<5;0;0
GUERMANTES;77600;77221;CA Marne et Gondoire;77;<5;<5;0
ISLES LES MELDEUSES;77440;77231;CC du Pays de l'Ourcq;77;<5;0;0
ISSOU;78440;78314;CU Grand Paris Seine et Oise;78;<5;0;<5
L ISLE ADAM;95290;95313;CC de la Vallée de l'Oise et des Trois Forêts;95;13;0;0
LA FRETTE SUR SEINE;95530;95257;CA Val Parisis;95;7;0;0
LA ROCHE GUYON;95780;95523;CC du Vexin-Val de Seine;95;<5;0;0
LA ROCHETTE;77000;77389;CA Melun Val de Seine;77;5;<5;0
LA VERRIERE;78320;78644;CA de Saint-Quentin-en-Yvelines;78;<5;0;0
LAINVILLE EN VEXIN;78440;78329;CU Grand Paris Seine et Oise;78;<5;0;0
LANEUVEVILLE DEVANT NANCY;54410;54300;Métropole du Grand Nancy;54;<5;0;0
LE BLANC MESNIL;93150;93007;EPT Paris Terre d'Envol;93;140;<5;<5
LE HEAULME;95640;95303;CC Vexin Centre;95;<5;0;0
LE PERRAY EN YVELINES;78610;78486;CA Rambouillet Territoires;78;5;<5;0
LE THILLAY;95500;95612;CA Roissy Pays de France;95;<5;0;0
LE VESINET;78110;78650;CA Saint-Germain Boucles de Seine;78;86;16;0
LEGUEVIN;31490;31291;CC de la Save au Touch;31;<5;0;0
LES LOGES EN JOSAS;78350;78343;CA Versailles Grand Parc (C.A.V.G.P.);78;28;<5;0
LES MUREAUX;78130;78440;CU Grand Paris Seine et Oise;78;59;0;0
LILLE;59000;59350;Métropole Européenne de Lille;59;<5;0;0
LIMEIL BREVANNES;94450;94044;EPT Grand Paris Sud Est Avenir;94;63;<5;0
LIVERDY EN BRIE;77220;77254;CC Val Briard;77;<5;0;0
LIVRY SUR SEINE;77000;77255;CA Melun Val de Seine;77;<5;0;0
LOCQUENOLE;29670;29132;CA Morlaix Communauté;29;<5;0;0
LONGJUMEAU;91160;91345;CA Communauté Paris-Saclay;91;36;<5;0
LONGPONT SUR ORGE;91310;91347;CA Cœur d'Essonne Agglomération;91;10;<5;0
MAFFLIERS;95560;95353;CC Carnelle Pays-De-France;95;<5;0;0
MAGNY LES HAMEAUX;78114;78356;CA de Saint-Quentin-en-Yvelines;78;18;<5;0
MAISONS LAFFITTE;78600;78358;CA Saint-Germain Boucles de Seine;78;82;14;<5
MANTES LA JOLIE;78200;78361;CU Grand Paris Seine et Oise;78;131;0;0
MARLY LE ROI;78160;78372;CA Saint-Germain Boucles de Seine;78;57;<5;0
MERE;78490;78389;CC Cœur d'Yvelines;78;<5;<5;0
MEREVILLE;91660;91390;CA Étampois Sud-Essonne;91;<5;0;0
MERY SUR OISE;95540;95394;CC de la Vallée de l'Oise et des Trois Forêts;95;9;<5;0
MONTALET LE BOIS;78440;78416;CU Grand Paris Seine et Oise;78;<5;0;0
MONTARGIS;45200;45208;CA Montargoise et Rives du Loing (A.M.E.);45;<5;0;0
MONTGERON;91230;91421;CA Val d'Yerres Val de Seine;91;69;6;0
MONTIGNY SUR LOING;77690;77312;CC Moret Seine et Loing;77;6;0;0
MONTLHERY;91310;91425;CA Communauté Paris-Saclay;91;9;<5;0
MONTMAGNY;95360;95427;CA Plaine Vallée;95;34;<5;0
MORSANG SUR ORGE;91390;91434;CA Cœur d'Essonne Agglomération;91;38;0;<5
NANGIS;77370;77327;CC Brie Nangissienne;77;6;0;0
NANTES;44000;44109;Nantes Métropole;44;<5;0;0
NANTEUIL LES MEAUX;77100;77330;CA du Pays de Meaux;77;5;0;0
NEUILLY PLAISANCE;93360;93049;EPT Grand Paris Grand Est;93;103;10;<5
NEUILLY SUR MARNE;93330;93050;EPT Grand Paris Grand Est;93;101;<5;<5
NEUILLY SUR SEINE;92200;92051;EPT Paris Ouest La Défense;92;630;81;13
NEVERS;58000;58194;CA de Nevers;58;<5;0;0
NIORT;79000;79191;CA du Niortais;79;<5;0;0
NOISY LE GRAND;93160;93051;EPT Grand Paris Grand Est;93;206;10;0
NOYON;60400;60471;CC du Pays Noyonnais;60;<5;0;0
